,delta_idx
0,0
1,2
2,3
3,4
4,7
5,8
6,9
7,10
8,15
9,18
10,19
11,23
12,24
13,26
14,28
15,29
16,30
17,35
18,36
19,37
20,46
21,49
22,56
23,57
24,60
25,64
26,66
27,68
28,69
29,71
30,74
31,76
32,79
33,80
34,81
35,82
36,85
37,92
38,101
39,111
40,122
41,124
42,145
43,146
44,151
45,153
46,158
47,162
48,164
49,169
50,171
51,176
52,177
53,178
54,179
55,181
56,182
57,184
58,195
59,196
60,199
61,201
62,208
63,212
64,216
65,221
66,222
67,223
68,227
69,229
70,232
71,237
72,244
73,255
74,267
75,272
76,273
77,274
78,276
79,280
80,281
81,284
82,287
83,292
84,304
85,329
86,357
87,367
88,368
89,390
90,391
91,392
92,403
93,422
94,426
95,428
96,435
97,439
98,444
99,445
100,446
101,451
102,458
103,493
104,501
105,504
106,505
107,508
108,514
109,517
110,534
111,536
112,542
113,543
114,552
115,554
116,576
117,580
118,589
119,594
120,603
121,606
122,612
123,617
124,619
125,620
126,624
127,629
128,630
129,639
130,650
131,652
132,656
133,665
134,679
135,682
136,684
137,692
138,704
139,748
140,765
141,767
142,783
143,784
144,785
145,789
146,791
147,794
148,795
149,800
150,809
151,820
152,837
153,841
154,861
155,871
156,877
157,885
158,887
159,890
160,891
161,894
162,895
163,896
164,939
165,950
166,956
167,961
168,980
169,987
170,1004
171,1016
172,1034
173,1039
174,1061
175,1066
176,1070
177,1078
178,1120
179,1131
180,1143
181,1152
182,1154
183,1192
184,1208
185,1212
186,1216
187,1225
188,1226
189,1227
190,1233
191,1237
192,1251
193,1252
194,1260
195,1263
196,1265
197,1274
198,1278
199,1281
200,1283
201,1285
202,1286
203,1313
204,1319
205,1337
206,1343
207,1355
208,1375
209,1382
210,1395
211,1405
212,1420
213,1441
214,1443
215,1483
216,1485
217,1487
218,1489
219,1491
220,1493
221,1496
222,1498
223,1505
224,1521
225,1526
226,1537
227,1558
228,1570
229,1575
230,1577
231,1597
232,1601
233,1615
234,1620
235,1621
236,1652
237,1658
238,1667
239,1674
240,1684
241,1685
242,1691
243,1696
244,1731
245,1740
246,1760
247,1767
248,1789
249,1792
250,1805
251,1814
252,1816
253,1821
254,1830
255,1837
256,1838
257,1843
258,1853
259,1872
260,1900
261,1901
262,1903
263,1904
264,1907
265,1913
266,1926
267,1930
268,1945
269,1950
270,1976
271,1977
272,1979
273,1980
274,1984
275,1993
276,1995
277,2000
278,2016
279,2026
280,2029
281,2044
282,2052
283,2054
284,2070
285,2100
286,2112
287,2137
288,2165
289,2171
290,2188
291,2190
292,2194
293,2195
294,2199
295,2214
296,2227
297,2237
298,2258
299,2260
300,2268
301,2273
302,2323
303,2333
304,2343
305,2346
306,2370
307,2372
308,2375
309,2376
310,2384
311,2385
312,2389
313,2411
314,2414
315,2419
316,2477
317,2495
318,2524
319,2526
320,2535
321,2563
322,2580
323,2595
324,2603
325,2616
326,2620
327,2632
328,2634
329,2652
330,2670
331,2685
332,2694
333,2740
334,2767
335,2808
336,2818
337,2822
338,2825
339,2827
340,2837
341,2850
342,2859
343,2875
344,2886
345,2906
346,2909
347,2915
348,2916
349,2924
350,2952
351,2953
352,2981
353,2994
354,3015
355,3029
356,3030
357,3035
358,3044
359,3051
360,3054
361,3056
362,3063
363,3076
364,3082
365,3085
366,3088
367,3089
368,3092
369,3099
370,3101
371,3118
372,3145
373,3155
374,3156
375,3157
376,3162
377,3209
378,3211
379,3216
380,3217
381,3222
382,3225
383,3229
384,3232
385,3234
386,3254
387,3279
388,3281
389,3282
390,3349
391,3365
392,3377
393,3378
394,3395
395,3405
396,3418
397,3429
398,3452
399,3492
400,3519
401,3542
402,3560
403,3564
404,3573
405,3580
406,3599
407,3622
408,3624
409,3629
