,delta_idx
0,0
1,1
2,2
3,13
4,15
5,16
6,18
7,19
8,20
9,26
10,28
11,29
12,36
13,39
14,47
15,50
16,60
17,64
18,66
19,68
20,74
21,76
22,82
23,85
24,89
25,94
26,98
27,103
28,104
29,106
30,107
31,111
32,115
33,119
34,130
35,132
36,135
37,156
38,162
39,171
40,176
41,179
42,196
43,203
44,219
45,222
46,223
47,226
48,232
49,234
50,238
51,249
52,263
53,274
54,280
55,284
56,287
57,303
58,316
59,328
60,331
61,364
62,386
63,411
64,413
65,421
66,423
67,426
68,435
69,441
70,471
71,489
72,500
73,501
74,514
75,518
76,524
77,532
78,552
79,562
80,580
81,586
82,602
83,613
84,617
85,632
86,638
87,646
88,650
89,656
90,660
91,700
92,704
93,710
94,714
95,715
96,736
97,745
98,785
99,789
100,794
101,800
102,801
103,824
104,862
105,864
106,870
107,885
108,903
109,908
110,914
111,928
112,938
113,977
114,1001
115,1028
116,1052
117,1066
118,1068
119,1069
120,1070
121,1077
122,1083
123,1097
124,1116
125,1131
126,1176
127,1192
128,1201
129,1202
130,1212
131,1226
132,1264
133,1307
134,1331
135,1371
136,1395
137,1443
138,1446
139,1452
140,1480
141,1483
142,1513
143,1537
144,1597
145,1601
146,1611
147,1637
148,1652
149,1663
150,1667
151,1749
152,1767
153,1802
154,1827
155,1872
156,1874
157,1876
158,1877
159,1900
160,1945
161,1950
162,1973
163,1980
164,1998
165,2027
166,2051
167,2060
168,2110
169,2119
170,2137
171,2147
172,2165
173,2171
174,2199
175,2249
176,2254
177,2258
178,2265
179,2304
180,2333
181,2346
182,2372
183,2393
184,2399
185,2404
186,2451
187,2453
188,2456
189,2477
190,2492
191,2515
192,2520
193,2574
194,2590
195,2595
196,2600
197,2616
198,2622
199,2629
200,2630
201,2655
202,2685
203,2727
204,2743
205,2744
206,2800
207,2818
208,2831
209,2838
210,2861
211,2875
212,2906
213,2909
214,2916
215,2945
216,2952
217,2967
218,2976
219,2978
220,3034
221,3037
222,3038
223,3044
224,3056
225,3087
226,3156
227,3189
228,3219
229,3232
230,3244
231,3249
232,3299
233,3309
234,3344
235,3382
236,3384
237,3418
238,3441
239,3460
240,3512
241,3513
242,3546
243,3623
244,30
245,34
246,51
247,56
248,69
249,75
250,88
251,90
252,117
253,123
254,172
255,209
256,212
257,217
258,227
259,231
260,250
261,254
262,259
263,272
264,301
265,306
266,310
267,318
268,322
269,362
270,389
271,397
272,425
273,427
274,448
275,476
276,490
277,534
278,538
279,584
280,637
281,648
282,654
283,670
284,733
285,737
286,783
287,818
288,844
289,846
290,912
291,919
292,1055
293,1067
294,1137
295,1154
296,1217
297,1334
298,1341
299,1352
300,1354
301,1404
302,1407
303,1414
304,1465
305,1482
306,1504
307,1523
308,1526
309,1570
310,1617
311,1635
312,1830
313,1858
314,1988
315,2094
316,2120
317,2174
318,2180
319,2188
320,2262
321,2310
322,2323
323,2425
324,2457
325,2603
326,2980
327,3019
328,3092
329,3145
330,3162
331,3163
332,3207
333,3303
334,3348
335,3387
336,3472
337,3516
